DATE,SPPOPGROWNOR
2000-01-01,0.649044821192665
2001-01-01,0.506046910557235
2002-01-01,0.539290805050494
2003-01-01,0.586532691986894
2004-01-01,0.590930939690253
2005-01-01,0.681072964187373
2006-01-01,0.805392739160981
2007-01-01,1.03473451527827
2008-01-01,1.24633301535167
2009-01-01,1.2611272893768
2010-01-01,1.24566617956207
2011-01-01,1.297189390693
2012-01-01,1.31344098868985
2013-01-01,1.20914158930136
2014-01-01,1.12773667734928
2015-01-01,0.995084736958414
2016-01-01,0.880969815359919
2017-01-01,0.807673181884948
2018-01-01,0.660090844249
2019-01-01,0.675061373245644
2020-01-01,0.588757324043059
