DATE,SPPOPGROWDNK
2000-01-01,0.334233618829261
2001-01-01,0.358315678955486
2002-01-01,0.319487125340996
2003-01-01,0.272010444031566
2004-01-01,0.258432282052875
2005-01-01,0.275481733409308
2006-01-01,0.328645158919929
2007-01-01,0.443466054321374
2008-01-01,0.587547590258978
2009-01-01,0.535079062079429
2010-01-01,0.444197154509531
2011-01-01,0.411737855195019
2012-01-01,0.376272242619955
2013-01-01,0.416901360752097
2014-01-01,0.507053283010163
2015-01-01,0.706423849687002
2016-01-01,0.780392644135167
2017-01-01,0.643350903737356
2018-01-01,0.495838925879129
2019-01-01,0.358130915892652
2020-01-01,0.291641177476633
