DATE,SPPOPGROWJPN
2000-01-01,0.167275578113187
2001-01-01,0.240952587521069
2002-01-01,0.232527187105684
2003-01-01,0.213980948779682
2004-01-01,0.0336622582725446
2005-01-01,0.00939209655766336
2006-01-01,0.0633735894181335
2007-01-01,0.114908847726211
2008-01-01,0.0484253945978966
2009-01-01,-0.0124946312294096
2010-01-01,0.0179605415195644
2011-01-01,-0.185226486410846
2012-01-01,-0.159710675844347
2013-01-01,-0.144271883387076
2014-01-01,-0.132694222147042
2015-01-01,-0.106124993746747
2016-01-01,-0.0511374152133631
2017-01-01,-0.081874296046114
2018-01-01,-0.126880068088791
2019-01-01,-0.140464977878172
2020-01-01,-0.294194617750067
